id,user_id,vehicle_id,rent_date,rent_end_date,rent_devolution_date,status
1,165,7,2026-05-12,2026-06-12,,overdue
2,33,2,2026-05-12,2026-06-12,,pending
3,217,42,2026-05-12,2026-06-12,,pending
4,123,30,2026-05-12,2026-06-12,,in proccess
5,162,38,2026-05-12,2026-06-12,,rent
6,212,78,2026-05-12,2026-06-12,,pending
7,156,86,2026-05-12,2026-06-12,,in proccess
8,129,62,2026-05-12,2026-06-12,,in proccess
9,104,45,2026-05-12,2026-06-12,,pending
10,198,66,2026-05-12,2026-06-12,,overdue
11,193,47,2026-05-12,2026-06-12,,pending
12,117,5,2026-05-12,2026-06-12,,overdue
13,247,6,2026-05-12,2026-06-12,,pending
14,106,89,2026-05-12,2026-06-12,,in proccess
15,114,41,2026-05-12,2026-06-12,,rent
16,97,21,2026-05-12,2026-06-12,,rent
17,210,63,2026-05-12,2026-06-12,,in proccess
18,187,75,2026-05-12,2026-06-12,,pending
19,155,70,2026-05-12,2026-06-12,,in proccess
20,177,94,2026-05-12,2026-06-12,,pending
21,64,109,2026-05-12,2026-06-12,,overdue
22,125,83,2026-05-12,2026-06-12,,overdue
23,157,39,2026-05-12,2026-06-12,,rent
24,72,72,2026-05-12,2026-06-12,,in proccess
25,100,18,2026-05-12,2026-06-12,,pending
26,249,54,2026-05-12,2026-06-12,,overdue
27,122,44,2026-05-12,2026-06-12,,pending
28,70,57,2026-05-12,2026-06-12,,overdue
29,236,46,2026-05-12,2026-06-12,,rent
30,237,3,2026-05-12,2026-06-12,,rent
31,174,76,2026-05-12,2026-06-12,,pending
32,73,84,2026-05-12,2026-06-12,,rent
33,66,65,2026-05-12,2026-06-12,,overdue
34,110,22,2026-05-12,2026-06-12,,pending
35,111,64,2026-05-12,2026-06-12,,overdue
36,241,97,2026-05-12,2026-06-12,,rent
37,225,110,2026-05-12,2026-06-12,,pending
38,141,10,2026-05-12,2026-06-12,,rent
39,153,29,2026-05-12,2026-06-12,,overdue
40,68,51,2026-05-12,2026-06-12,,pending
41,93,73,2026-05-12,2026-06-12,,overdue
42,248,31,2026-05-12,2026-06-12,,overdue
43,34,26,2026-05-12,2026-06-12,,rent
44,113,104,2026-05-12,2026-06-12,,rent
45,227,61,2026-05-12,2026-06-12,,in proccess
46,137,59,2026-05-12,2026-06-12,,overdue
47,238,105,2026-05-12,2026-06-12,,rent
48,9,9,2026-05-12,2026-06-12,,in proccess
49,128,35,2026-05-12,2026-06-12,,in proccess
50,108,79,2026-05-12,2026-06-12,,overdue
51,62,69,2026-05-12,2026-06-12,,rent
52,226,40,2026-05-12,2026-06-12,,overdue
53,124,17,2026-05-12,2026-06-12,,overdue
54,56,58,2026-05-12,2026-06-12,,rent
55,26,32,2026-05-12,2026-06-12,,overdue
56,10,27,2026-05-12,2026-06-12,,overdue
57,48,23,2026-05-12,2026-06-12,,pending
58,31,34,2026-05-12,2026-06-12,,pending
59,163,43,2026-05-12,2026-06-12,,in proccess
60,65,33,2026-05-12,2026-06-12,,overdue
61,168,13,2026-05-12,2026-06-12,,overdue
62,41,50,2026-05-12,2026-06-12,,overdue
63,194,8,2026-05-12,2026-06-12,,pending
64,5,1,2026-05-12,2026-06-12,,overdue
65,20,11,2026-05-12,2026-06-12,,in proccess
66,231,67,2026-05-12,2026-06-12,,pending
67,164,15,2026-05-12,2026-06-12,,rent
68,67,91,2026-05-12,2026-06-12,,overdue
69,49,99,2026-05-12,2026-06-12,,pending
70,243,106,2026-05-12,2026-06-12,,overdue
71,144,53,2026-05-12,2026-06-12,,rent
72,130,88,2026-05-12,2026-06-12,,in proccess
73,87,28,2026-05-12,2026-06-12,,in proccess
74,167,4,2026-05-12,2026-06-12,,rent
75,191,81,2026-05-12,2026-06-12,,rent
76,75,107,2026-05-12,2026-06-12,,rent
77,92,108,2026-05-12,2026-06-12,,rent
78,99,77,2026-05-12,2026-06-12,,rent
79,152,87,2026-05-12,2026-06-12,,pending
80,61,68,2026-05-12,2026-06-12,,pending
81,150,49,2026-05-12,2026-06-12,,pending
82,103,80,2026-05-12,2026-06-12,,overdue
83,135,98,2026-05-12,2026-06-12,,rent
84,101,25,2026-05-12,2026-06-12,,in proccess
85,120,71,2026-05-12,2026-06-12,,in proccess
86,175,82,2026-05-12,2026-06-12,,in proccess
87,138,74,2026-05-12,2026-06-12,,overdue
88,11,12,2026-05-12,2026-06-12,,rent
89,146,103,2026-05-12,2026-06-12,,in proccess
90,74,14,2026-05-12,2026-06-12,,rent
91,215,20,2026-05-12,2026-06-12,,overdue
92,147,102,2026-05-12,2026-06-12,,pending
93,201,60,2026-05-12,2026-06-12,,overdue
94,197,93,2026-05-12,2026-06-12,,overdue
95,2,96,2026-05-12,2026-06-12,,rent
96,127,36,2026-05-12,2026-06-12,,in proccess
97,42,85,2026-05-12,2026-06-12,,overdue
