id,make,model,manufacture_year,status
1,Dodge,Ram Van 2500,2/9/2012,available
2,Volkswagen,Rabbit,3/22/2011,not available
3,Geo,Tracker,2/13/1999,available
4,Volvo,S70,2/6/2011,not available
5,Acura,TL,3/14/2024,not available
6,Suzuki,SX4,3/5/2004,available
7,Rolls-Royce,Phantom,6/16/2007,not available
8,Mazda,B-Series,12/8/2015,not available
9,Chevrolet,Impala,6/21/1991,available
10,Porsche,Boxster,2/7/1998,not available
11,Rolls-Royce,Ram Van 2500,2000-03-28,available
12,Volvo,TL,2004-09-26,available
13,Rolls-Royce,B-Series,1994-06-07,available
14,Volvo,Boxster,1988-04-01,not available
15,Porsche,Phantom,2000-01-11,not available
16,Suzuki,Boxster,2011-05-12,available
17,Volvo,S70,1985-11-06,available
18,Mazda,Impala,1995-01-28,available
19,Geo,Phantom,1991-08-28,available
20,Dodge,S70,1980-07-07,not available
21,Porsche,Rabbit,1992-08-08,available
22,Dodge,B-Series,2025-03-28,available
23,Porsche,Rabbit,2000-03-24,available
24,Volvo,Tracker,1973-09-06,not available
25,Dodge,TL,2019-04-04,not available
26,Mazda,Tracker,2005-06-19,not available
27,Rolls-Royce,Rabbit,1976-04-21,not available
28,Dodge,Boxster,2009-03-13,available
29,Dodge,Tracker,1988-05-28,not available
30,Rolls-Royce,SX4,2003-06-23,not available
31,Volkswagen,Boxster,1979-11-14,not available
32,Chevrolet,Boxster,1971-12-01,available
33,Rolls-Royce,SX4,1994-11-05,available
34,Dodge,S70,2012-02-23,available
35,Rolls-Royce,S70,2005-06-21,not available
36,Geo,S70,2021-05-22,available
37,Acura,Impala,2019-02-21,available
38,Geo,Phantom,1997-09-10,not available
39,Volvo,Impala,2007-03-07,not available
40,Volvo,Impala,1999-02-16,available
41,Geo,S70,1975-07-15,available
42,Porsche,Ram Van 2500,2023-04-30,not available
43,Acura,Tracker,1974-12-10,available
44,Suzuki,Boxster,2012-02-11,not available
45,Dodge,Tracker,2023-06-07,available
46,Volvo,Impala,2006-08-24,available
47,Chevrolet,Boxster,1973-12-10,available
48,Acura,Tracker,2018-04-18,available
49,Volkswagen,Impala,2022-07-18,not available
50,Mazda,Phantom,1977-06-23,available
51,Rolls-Royce,TL,1973-07-03,not available
52,Acura,Boxster,2013-06-21,not available
53,Porsche,TL,1995-09-15,available
54,Dodge,SX4,2021-10-17,not available
55,Chevrolet,Tracker,2015-12-23,available
56,Geo,Phantom,2004-01-08,not available
57,Volkswagen,Impala,2024-04-14,not available
58,Suzuki,Phantom,2022-02-18,not available
59,Mazda,B-Series,1970-07-12,available
60,Rolls-Royce,SX4,1970-09-12,not available
61,Chevrolet,B-Series,2019-02-18,not available
62,Suzuki,S70,1977-05-24,not available
63,Volkswagen,TL,1971-01-27,not available
64,Porsche,Tracker,1981-05-23,not available
65,Suzuki,Ram Van 2500,1988-11-08,available
66,Chevrolet,Phantom,1971-07-21,available
67,Mazda,Impala,2008-04-27,not available
68,Rolls-Royce,Boxster,1998-08-05,not available
69,Mazda,B-Series,1972-01-22,not available
70,Chevrolet,Tracker,2018-09-25,not available
71,Dodge,Phantom,1972-05-22,not available
72,Geo,Tracker,2013-04-27,available
73,Dodge,B-Series,2024-11-08,available
74,Suzuki,TL,2011-11-21,available
75,Rolls-Royce,Tracker,2013-07-08,available
76,Suzuki,TL,2022-10-20,available
77,Chevrolet,Rabbit,2020-12-29,not available
78,Geo,Impala,2022-09-06,available
79,Chevrolet,Rabbit,1992-07-27,not available
80,Acura,Phantom,1979-10-23,available
81,Geo,Tracker,1994-03-22,available
82,Acura,SX4,2000-05-09,available
83,Rolls-Royce,TL,1980-01-14,not available
84,Volvo,Ram Van 2500,2004-04-28,available
85,Chevrolet,Ram Van 2500,1979-03-11,not available
86,Mazda,TL,2025-01-05,available
87,Geo,B-Series,1985-08-07,not available
88,Dodge,SX4,2020-07-27,not available
89,Rolls-Royce,Ram Van 2500,2005-09-19,available
90,Volvo,Boxster,2021-02-02,available
91,Porsche,Phantom,1986-04-27,available
92,Porsche,SX4,2007-08-10,not available
93,Volvo,Rabbit,2014-11-23,not available
94,Volkswagen,Phantom,1991-01-05,not available
95,Geo,S70,1998-12-18,not available
96,Mazda,Phantom,1993-11-27,available
97,Mazda,S70,1981-06-13,not available
98,Chevrolet,Ram Van 2500,1972-07-11,available
99,Volvo,Phantom,1984-10-02,available
100,Porsche,Ram Van 2500,2015-02-08,not available
101,Rolls-Royce,Tracker,2002-01-17,available
102,Suzuki,TL,2005-05-13,not available
103,Chevrolet,TL,1998-02-23,not available
104,Mazda,Rabbit,1975-01-07,not available
105,Suzuki,Rabbit,2000-09-23,available
106,Volkswagen,Tracker,2013-08-13,available
107,Acura,TL,2002-08-23,available
108,Volvo,TL,2009-06-30,available
109,Acura,Boxster,1973-09-15,available
110,Chevrolet,Boxster,1972-02-27,available
111,Rolls-Royce,TL,1975-03-07,not available
112,Chevrolet,Boxster,2006-01-12,available
113,Chevrolet,Ram Van 2500,2005-10-22,not available
114,Mazda,S70,2003-09-13,available
115,Rolls-Royce,Phantom,1996-12-29,not available
116,Chevrolet,Rabbit,2025-11-03,not available
117,Volkswagen,B-Series,2007-05-10,not available
118,Dodge,TL,1999-04-14,not available
119,Mazda,B-Series,2016-12-27,not available
120,Suzuki,Tracker,1977-04-24,not available
121,Suzuki,Boxster,2000-03-26,not available
122,Mazda,S70,2010-05-21,available
123,Chevrolet,TL,1996-01-16,available
124,Volkswagen,Boxster,1985-09-20,not available
125,Chevrolet,Impala,2016-02-22,not available
126,Volkswagen,SX4,1971-04-16,not available
127,Mazda,Impala,2024-11-28,not available
128,Suzuki,B-Series,1971-09-19,available
129,Dodge,SX4,2010-04-24,available
130,Geo,Impala,1979-04-24,not available
131,Volvo,Boxster,1979-05-30,available
132,Volkswagen,Tracker,2025-07-05,available
133,Porsche,Rabbit,1982-10-26,available
134,Mazda,Rabbit,1972-07-11,not available
135,Acura,Ram Van 2500,1987-11-08,available
136,Volkswagen,Tracker,1980-11-01,available
137,Suzuki,SX4,1999-12-02,available
138,Dodge,TL,2002-09-19,available
139,Geo,S70,1984-08-12,not available
140,Geo,Rabbit,2002-12-01,not available
141,Rolls-Royce,S70,2014-11-29,available
142,Chevrolet,SX4,1987-03-20,available
143,Mazda,Impala,1991-11-05,not available
144,Chevrolet,Rabbit,2015-01-26,available
145,Geo,B-Series,1995-05-06,available
146,Suzuki,Phantom,1980-12-04,not available
147,Chevrolet,TL,2016-03-09,available
148,Mazda,TL,1980-06-19,available
149,Dodge,SX4,1974-10-18,available
150,Porsche,SX4,2021-07-09,available
151,Mazda,Rabbit,1974-12-06,not available
152,Volvo,Ram Van 2500,2005-07-22,not available
153,Suzuki,Tracker,2000-08-14,not available
154,Porsche,B-Series,2003-07-17,not available
155,Suzuki,Boxster,1975-09-17,available
156,Volkswagen,TL,2025-01-17,available
157,Porsche,TL,1984-03-06,available
158,Acura,SX4,2016-06-04,available
159,Chevrolet,Impala,2023-11-07,not available
160,Volvo,Tracker,2018-06-15,available
161,Geo,Impala,2004-08-13,available
162,Suzuki,Impala,2006-05-19,available
163,Suzuki,Rabbit,2002-07-26,not available
164,Rolls-Royce,Tracker,2025-01-01,not available
165,Mazda,Rabbit,1989-03-15,not available
166,Acura,Boxster,1971-08-05,not available
167,Chevrolet,Rabbit,1988-12-16,available
